PB.10001:GPA33	GPA33
PB.100152:FGF7P3	FGF7P3
PB.100152:ENSG00000283886	ENSG00000283886
PB.100167:ENSG00000229273	ENSG00000229273
PB.100167:ENSG00000232798	ENSG00000232798
PB.100209:ENSG00000237846	ENSG00000237846
PB.100212:ENSG00000284116	ENSG00000284116
PB.100216:ANKRD20A2P	ANKRD20A2P
PB.100221:ENSG00000240240	ENSG00000240240
PB.100221:FAM95B1	FAM95B1
PB.100294:PGM5P2	PGM5P2
PB.100295:FRG1HP	FRG1HP
PB.100295:ENSG00000280077+FRG1HP	ENSG00000280077+FRG1HP
PB.100295:ENSG00000279456+FRG1HP	ENSG00000279456+FRG1HP
PB.100295:ENSG00000280077	ENSG00000280077
PB.100295:ENSG00000279456	ENSG00000279456
PB.100327:ENSG00000288891	ENSG00000288891
PB.100327:ENSG00000275160+ENSG00000288891	ENSG00000275160+ENSG00000288891
PB.100327:ENSG00000275160	ENSG00000275160
PB.100337:RN7SL565P	RN7SL565P
PB.10035:RCSD1	RCSD1
PB.10035:MPZL1	MPZL1
PB.10035:AKR1D1P1	AKR1D1P1
PB.10035:ENSG00000287218	ENSG00000287218
PB.100351:CBWD6	CBWD6
PB.100351:ENSG00000279561	ENSG00000279561
PB.100351:CBWD6+ENSG00000279561	CBWD6+ENSG00000279561
PB.100351:CDRT15P6	CDRT15P6
PB.100373:ENSG00000278001	ENSG00000278001
PB.100411:ENSG00000212952	ENSG00000212952
PB.100411:FGF7P5	FGF7P5
PB.100416:ENSG00000237357	ENSG00000237357
PB.100416:FGF7P4	FGF7P4
PB.100435:ENSG00000235659	ENSG00000235659
PB.100438:FAM27C	FAM27C
PB.100438:RN7SL722P	RN7SL722P
PB.100449:ENSG00000231995	ENSG00000231995
PB.100471:FGF7P6	FGF7P6
PB.100471:CNTNAP3P5+ENSG00000226007	CNTNAP3P5+ENSG00000226007
PB.100471:ENSG00000226007	ENSG00000226007
PB.100472:ENSG00000204802	ENSG00000204802
PB.100472:ENSG00000204802+ENSG00000231212	ENSG00000204802+ENSG00000231212
PB.100472:ENSG00000212951	ENSG00000212951
PB.100484:ATP5F1AP7	ATP5F1AP7
PB.100488:PTGER4P2	PTGER4P2
PB.100488:CDK2AP2P2	CDK2AP2P2
PB.100488:LINC01410	LINC01410
PB.100488:CDK2AP2P2+LINC01410+PTGER4P2	CDK2AP2P2+LINC01410+PTGER4P2
PB.100490:ENSG00000288838	ENSG00000288838
PB.100490:ENSG00000287168	ENSG00000287168
PB.100490:ENSG00000229422	ENSG00000229422
PB.100490:ENSG00000287168+ENSG00000288838	ENSG00000287168+ENSG00000288838
PB.100510:ENSG00000170161	ENSG00000170161
PB.100522:BMS1P9	BMS1P9
PB.10053:MPC2	MPC2
PB.10053:GCSHP5	GCSHP5
PB.100533:ENSG00000182021	ENSG00000182021
PB.100625:FRG1JP	FRG1JP
PB.100625:DUX4L50	DUX4L50
PB.100625:ENSG00000225411	ENSG00000225411
PB.10063:DCAF6	DCAF6
PB.100648:ENSG00000204790	ENSG00000204790
PB.100659:ENSG00000288694+FLJ43315	ENSG00000288694+FLJ43315
PB.100659:FLJ43315	FLJ43315
PB.100659:ENSG00000288694	ENSG00000288694
PB.100696:SNX18P9	SNX18P9
PB.100696:ANKRD20A4P	ANKRD20A4P
PB.100696:CYP4F25P	CYP4F25P
PB.100755:BMS1P11	BMS1P11
PB.100755:BNIP3P4	BNIP3P4
PB.10076:GPR161	GPR161
PB.100791:FOXD4L5	FOXD4L5
PB.100800:CBWD4P	CBWD4P
PB.10081:ANKRD36BP1	ANKRD36BP1
PB.100814:CBWD5	CBWD5
PB.100815:FOXD4L4	FOXD4L4
PB.100863:ENSG00000274628	ENSG00000274628
PB.100882:CDRT15P12	CDRT15P12
PB.100923:ATP5F1AP10	ATP5F1AP10
PB.100937:ZNF658	ZNF658
PB.100954:ENSG00000275493	ENSG00000275493
PB.100956:FAM27E3	FAM27E3
PB.100956:FAM27B	FAM27B
PB.100967:ENSG00000277618	ENSG00000277618
PB.100983:ANKRD20A1	ANKRD20A1
PB.100996:ENSG00000279706	ENSG00000279706
PB.100997:ENSG00000279706	ENSG00000279706
PB.101008:CBWD3	CBWD3
PB.10101:TIPRL	TIPRL
PB.10101:SFT2D2	SFT2D2
PB.10101:SFT2D2+TBX19	SFT2D2+TBX19
PB.10101:TBX19	TBX19
PB.101026:PGM5	PGM5
PB.101032:LINC01506	LINC01506
PB.101104:ENSG00000288771	ENSG00000288771
PB.101109:PIP5K1B	PIP5K1B
PB.101109:PABIR1	PABIR1
PB.101119:ENSG00000270236	ENSG00000270236
PB.101137:FXN	FXN
PB.101137:TJP2	TJP2
PB.101137:ENSG00000285130	ENSG00000285130
PB.101147:ENSG00000243888	ENSG00000243888
PB.101158:APBA1	APBA1
PB.101164:APBA1	APBA1
PB.101231:ENSG00000261447	ENSG00000261447
PB.101254:PTAR1	PTAR1
PB.101270:C9orf135	C9orf135
PB.101279:MAMDC2	MAMDC2
PB.101295:SMC5-DT	SMC5-DT
PB.101304:SMC5	SMC5
PB.101304:ENSG00000274421	ENSG00000274421
PB.101321:KLF9	KLF9
PB.101323:ENSG00000289159	ENSG00000289159
PB.101368:CEMIP2	CEMIP2
PB.101368:ABHD17B+CEMIP2	ABHD17B+CEMIP2
PB.101368:ABHD17B	ABHD17B
PB.101385:C9orf85	C9orf85
PB.101412:LINC01504	LINC01504
PB.101413:ZFAND5	ZFAND5
PB.101416:ENSG00000288865	ENSG00000288865
PB.101455:LINC01474	LINC01474
PB.101464:ALDH1A1	ALDH1A1
PB.101479:ANXA1	ANXA1
PB.101499:RORB	RORB
PB.101519:OSTF1	OSTF1
PB.101522:C9orf40	C9orf40
PB.101522:CARNMT1	CARNMT1
PB.101522:ENSG00000229587	ENSG00000229587
PB.101522:NMRK1	NMRK1
PB.101686:PCSK5	PCSK5
PB.101719:RFK	RFK
PB.101766:GCNT1	GCNT1
PB.101769:PRUNE2	PRUNE2
PB.101779:VPS13A-AS1	VPS13A-AS1
PB.101800:VPS13A	VPS13A
PB.101803:GNA14	GNA14
PB.101862:GNAQ	GNAQ
PB.10187:XCL2	XCL2
PB.101879:ENSG00000289440	ENSG00000289440
PB.10188:XCL1	XCL1
PB.101891:CEP78	CEP78
PB.101911:PSAT1	PSAT1
PB.101941:TLE4	TLE4
PB.101954:ENSG00000260564	ENSG00000260564
PB.101954:ENSG00000280366	ENSG00000280366
PB.101954:ENSG00000280366+LINC01507	ENSG00000280366+LINC01507
PB.1020:SLC66A1	SLC66A1
PB.1020:RN7SL277P	RN7SL277P
PB.1020:MICOS10	MICOS10
PB.1020:ENSG00000226396	ENSG00000226396
PB.10206:ATP1B1	ATP1B1
PB.102104:TLE1	TLE1
PB.102114:ENSG00000233926	ENSG00000233926
PB.102160:ENSG00000229109	ENSG00000229109
PB.102222:IDNK	IDNK
PB.102229:FRMD3	FRMD3
PB.102229:UBQLN1	UBQLN1
PB.102234:UBQLN1-AS1	UBQLN1-AS1
PB.102246:GKAP1	GKAP1
PB.102249:ENSG00000226877	ENSG00000226877
PB.102281:KIF27	KIF27
PB.102290:C9orf64	C9orf64
PB.102294:RMI1	RMI1
PB.102300:HNRNPK	HNRNPK
PB.102326:NTRK2	NTRK2
PB.10235:BLZF1	BLZF1
PB.102352:AGTPBP1	AGTPBP1
PB.102362:ENSG00000234424	ENSG00000234424
PB.102362:ENSG00000165121	ENSG00000165121
PB.102362:ENSG00000289214	ENSG00000289214
PB.102365:PHBP7	PHBP7
PB.10238:NME7	NME7
PB.10238:CCDC181	CCDC181
PB.102381:NAA35	NAA35
PB.102383:GOLM1	GOLM1
PB.102412:ISCA1	ISCA1
PB.102412:RN7SKP264	RN7SKP264
PB.102414:TUT7	TUT7
PB.102434:GAS1	GAS1
PB.102458:ENSG00000288903	ENSG00000288903
PB.102491:DAPK1	DAPK1
PB.102491:DAPK1-IT1	DAPK1-IT1
PB.102495:CTSL	CTSL
PB.102501:CDK20	CDK20
PB.102506:ENSG00000275017	ENSG00000275017
PB.102506:HNRNPA1P14	HNRNPA1P14
PB.102515:SPIN1	SPIN1
PB.102544:S1PR3	S1PR3
PB.10256:SLC19A2	SLC19A2
PB.10257:ENSG00000213062	ENSG00000213062
PB.102576:SHC3	SHC3
PB.102578:CKS2	CKS2
PB.102587:SECISBP2	SECISBP2
PB.102588:PA2G4P6	PA2G4P6
PB.10259:ENSG00000213062	ENSG00000213062
PB.102590:ENSG00000225460	ENSG00000225460
PB.102596:SEMA4D	SEMA4D
PB.102623:GADD45G	GADD45G
PB.102627:ENSG00000237372	ENSG00000237372
PB.102628:ENSG00000237626	ENSG00000237626
PB.102637:SYK	SYK
PB.102672:ENSG00000237422	ENSG00000237422
PB.102672:ENSG00000230537	ENSG00000230537
PB.102672:ENSG00000230537+ENSG00000237422	ENSG00000230537+ENSG00000237422
PB.102672:ENSG00000228216	ENSG00000228216
PB.102683:LINC00484	LINC00484
PB.102686:ENSG00000289123	ENSG00000289123
PB.102693:ENSG00000273381	ENSG00000273381
PB.102694:ENSG00000273381	ENSG00000273381
PB.102696:ENSG00000273381	ENSG00000273381
PB.102741:AUH	AUH
PB.102754:NFIL3	NFIL3
PB.10276:C1orf112	C1orf112
PB.1028:NBL1	NBL1
PB.10283:F5	F5
PB.10283:SCYL3	SCYL3
PB.10283:SELP	SELP
PB.10283:SELL	SELL
PB.10283:METTL18	METTL18
PB.102834:SPTLC1	SPTLC1
PB.102838:ENSG00000236717	ENSG00000236717
PB.10284:C1orf112	C1orf112
PB.10284:RN7SL333P	RN7SL333P
PB.102857:IARS1	IARS1
PB.102875:NOL8	NOL8
PB.102885:CENPP	CENPP
PB.102890:OGN	OGN
PB.102920:CENPP	CENPP
PB.102946:CARD19	CARD19
PB.102946:FGD3	FGD3
PB.102946:SUSD3	SUSD3
PB.102946:CARD19+SUSD3	CARD19+SUSD3
PB.102954:IPPK	IPPK
PB.102954:ENSG00000223446	ENSG00000223446
PB.102954:NINJ1	NINJ1
PB.102954:ENSG00000213669	ENSG00000213669
PB.102954:BICD2	BICD2
PB.102954:ZNF484	ZNF484
PB.102954:EEF1DP2	EEF1DP2
PB.102954:ENSG00000275318	ENSG00000275318
PB.102954:ENSG00000275318+ZNF484	ENSG00000275318+ZNF484
PB.102961:WNK2	WNK2
PB.102963:FAM120AOS	FAM120AOS
PB.102977:FAM120A	FAM120A
PB.102978:ENSG00000289031	ENSG00000289031
PB.102982:PHF2	PHF2
PB.103026:VDAC1P11	VDAC1P11
PB.103027:YRDCP1	YRDCP1
PB.103027:ENSG00000224815	ENSG00000224815
PB.103027:PTMAP12	PTMAP12
PB.103033:PTPDC1	PTPDC1
PB.103033:MFSD14B	MFSD14B
PB.103033:MIRLET7A1HG	MIRLET7A1HG
PB.103033:ZNF169	ZNF169
PB.103033:CYCSP24	CYCSP24
PB.103033:ENSG00000232063	ENSG00000232063
PB.103033:ENSG00000232063+MFSD14B	ENSG00000232063+MFSD14B
PB.103052:FBP1	FBP1
PB.103107:AOPEP	AOPEP
PB.103116:ENSG00000223849	ENSG00000223849
PB.10313:KIFAP3	KIFAP3
PB.10313:RN7SL269P	RN7SL269P
PB.103131:FANCC	FANCC
PB.103139:FANCC	FANCC
PB.103152:ENSG00000271314	ENSG00000271314
PB.103156:ENSG00000271155	ENSG00000271155
PB.103157:ENSG00000271659	ENSG00000271659
PB.103159:PTCH1	PTCH1
PB.103171:ENSG00000268926	ENSG00000268926
PB.103192:LINC00476	LINC00476
PB.103203:LINC00092	LINC00092
PB.103206:ERCC6L2	ERCC6L2
PB.103206:PARK7P2	PARK7P2
PB.103222:EIF4BP3	EIF4BP3
PB.103248:SLC35D2	SLC35D2
PB.103248:HSD17B3	HSD17B3
PB.103257:HABP4	HABP4
PB.103259:ZNF367	ZNF367
PB.103259:ENSG00000286835	ENSG00000286835
PB.103290:CDC14B	CDC14B
PB.103299:PRXL2C	PRXL2C
PB.10331:GORAB	GORAB
PB.103313:ENSG00000224848	ENSG00000224848
PB.103313:ENSG00000233820	ENSG00000233820
PB.103342:ZNF510	ZNF510
PB.103342:MFSD14C	MFSD14C
PB.103342:ZNF782	ZNF782
PB.103342:ZNF510+ZNF782	ZNF510+ZNF782
PB.103343:YRDCP2	YRDCP2
PB.103343:PTMAP11	PTMAP11
PB.103343:ENSG00000227257	ENSG00000227257
PB.103347:CTSV	CTSV
PB.103374:ENSG00000277103	ENSG00000277103
PB.103390:ANKRD18CP	ANKRD18CP
PB.103390:ENSG00000203279	ENSG00000203279
PB.103390:ENSG00000203279+ENSG00000242375	ENSG00000203279+ENSG00000242375
PB.103390:ZNF322P1	ZNF322P1
PB.103419:SUGT1P4-STRA6LP	SUGT1P4-STRA6LP
PB.103419:CCDC180+SUGT1P4-STRA6LP	CCDC180+SUGT1P4-STRA6LP
PB.103419:SUGT1P4-STRA6LP-CCDC180	SUGT1P4-STRA6LP-CCDC180
PB.103419:CCDC180	CCDC180
PB.103419:ENSG00000254633	ENSG00000254633
PB.103426:ENSG00000286375	ENSG00000286375
PB.103450:TDRD7	TDRD7
PB.103454:TMOD1	TMOD1
PB.103462:NCBP1	NCBP1
PB.103466:TSTD2	TSTD2
PB.103466:XPA	XPA
PB.1035:HTR6	HTR6
PB.103508:ANP32B	ANP32B
PB.103512:NANS	NANS
PB.103513:Metazoa+SRP	Metazoa+SRP
PB.103534:CORO2A	CORO2A
PB.103534:TRMO	TRMO
PB.103534:TBC1D2	TBC1D2
PB.103534:ENSG00000287070	ENSG00000287070
PB.103534:HEMGN	HEMGN
PB.103534:TRIM14	TRIM14
PB.103544:SEPTIN7P7	SEPTIN7P7
PB.103557:ANKS6	ANKS6
PB.103565:GALNT12	GALNT12
PB.103570:COL15A1	COL15A1
PB.103589:ALG2	ALG2
PB.103592:TGFBR1	TGFBR1
PB.103592:SEC61B	SEC61B
PB.103592:SEC61B+TGFBR1	SEC61B+TGFBR1
PB.103606:RN7SKP225	RN7SKP225
PB.103649:NR4A3	NR4A3
PB.103669:ENSG00000237461	ENSG00000237461
PB.103669:STX17-DT	STX17-DT
PB.103682:ERP44	ERP44
PB.103682:TEX10	TEX10
PB.103682:UPF3AP3	UPF3AP3
PB.103686:STX17	STX17
PB.103686:NANOGP5	NANOGP5
PB.103686:INVS	INVS
PB.103719:MSANTD3	MSANTD3
PB.103719:CAVIN4+TMEFF1	CAVIN4+TMEFF1
PB.103719:MSANTD3+TMEFF1	MSANTD3+TMEFF1
PB.103719:MSANTD3-TMEFF1	MSANTD3-TMEFF1
PB.103734:TRMT112P4	TRMT112P4
PB.103750:MRPL50	MRPL50
PB.103758:ZNF189	ZNF189
PB.103788:GRIN3A	GRIN3A
PB.103789:RNF20	RNF20
PB.103813:SMC2-DT	SMC2-DT
PB.103826:SMC2	SMC2
PB.103888:OR13D1	OR13D1
PB.103897:OR13C3	OR13C3
PB.103897:OR13C9	OR13C9
PB.103905:NIPSNAP3A	NIPSNAP3A
PB.103905:NIPSNAP3B	NIPSNAP3B
PB.103911:ABCA1	ABCA1
PB.103946:ABCA1	ABCA1
PB.103949:ENSG00000226334	ENSG00000226334
PB.104:MORN1	MORN1
PB.104:ENSG00000269896	ENSG00000269896
PB.104:ENSG00000272420+MORN1	ENSG00000272420+MORN1
PB.104:ENSG00000272420	ENSG00000272420
PB.104:ENSG00000272161	ENSG00000272161
PB.104011:SLC44A1	SLC44A1
PB.104011:ENSG00000289227	ENSG00000289227
PB.104045:FSD1L	FSD1L
PB.104045:RALGAPA1P1	RALGAPA1P1
PB.104049:ENSG00000228317	ENSG00000228317
PB.104058:FKTN	FKTN
PB.104066:TAL2	TAL2
PB.104066:ENSG00000279609	ENSG00000279609
PB.104068:ENSG00000228366	ENSG00000228366
PB.104086:TMEM38B	TMEM38B
PB.104086:SLC25A6P5	SLC25A6P5
PB.10411:ENSG00000231424	ENSG00000231424
PB.10411:ENSG00000225243+ENSG00000231424	ENSG00000225243+ENSG00000231424
PB.10413:FMO1	FMO1
PB.10417:FMO4	FMO4
PB.10417:TOP1P1	TOP1P1
PB.104188:LINC01505	LINC01505
PB.104192:ZNF462	ZNF462
PB.104223:ZNF462	ZNF462
PB.104244:RAD23B	RAD23B
PB.104261:LINC01509	LINC01509
PB.104261:KLF4	KLF4
PB.104261:KLF4+LINC01509	KLF4+LINC01509
PB.104285:ENSG00000236005	ENSG00000236005
PB.104343:ENSG00000213557	ENSG00000213557
PB.10439:PRRC2C	PRRC2C
PB.104522:ELP1	ELP1
PB.104522:CTNNAL1	CTNNAL1
PB.104523:ACTL7A	ACTL7A
PB.104523:ABITRAM	ABITRAM
PB.10453:ENSG00000236741	ENSG00000236741
PB.104530:TMEM245	TMEM245
PB.10454:VAMP4	VAMP4
PB.104546:PTPN3	PTPN3
PB.104560:PALM2AKAP2	PALM2AKAP2
PB.104564:ENSG00000228053	ENSG00000228053
PB.104592:TXN	TXN
PB.10464:METTL13	METTL13
PB.10464:ENSG00000213060	ENSG00000213060
PB.104654:ENSG00000223918	ENSG00000223918
PB.104726:LPAR1	LPAR1
PB.104738:ENSG00000227531	ENSG00000227531
PB.104767:ZNF483	ZNF483
PB.104770:ECPAS	ECPAS
PB.104770:PTGR1	PTGR1
PB.104770:LRRC37A5P	LRRC37A5P
PB.104770:SHOC1	SHOC1
PB.104785:GNG10	GNG10
PB.104785:DNAJC25	DNAJC25
PB.104785:DNAJC25-GNG10	DNAJC25-GNG10
PB.104792:UGCG	UGCG
PB.104809:RN7SL57P	RN7SL57P
PB.104809:PTBP3	PTBP3
PB.104809:SUSD1	SUSD1
PB.104809:RN7SL430P	RN7SL430P
PB.104809:HSDL2-AS1	HSDL2-AS1
PB.104809:ENSG00000259953	ENSG00000259953
PB.104809:PTBP3+SUSD1	PTBP3+SUSD1
PB.104809:ENSG00000225513	ENSG00000225513
PB.104831:KIAA1958	KIAA1958
PB.104831:HSDL2	HSDL2
PB.104838:INIP	INIP
PB.104838:ENSG00000226609	ENSG00000226609
PB.104839:SNX30	SNX30
PB.104840:SLC46A2	SLC46A2
PB.104847:SNX30	SNX30
PB.104847:ENSG00000271631	ENSG00000271631
PB.104863:ZNF883	ZNF883
PB.104863:ZFP37	ZFP37
PB.104867:FAM225B	FAM225B
PB.104880:SLC31A2	SLC31A2
PB.104890:FKBP15	FKBP15
PB.104891:SLC31A1	SLC31A1
PB.104895:CDC26	CDC26
PB.104898:PRPF4	PRPF4
PB.104910:WDR31	WDR31
PB.104913:BSPRY	BSPRY
PB.104917:ALAD	ALAD
PB.104917:HDHD3	HDHD3
PB.104921:POLE3	POLE3
PB.104923:C9orf43	C9orf43
PB.104938:RGS3	RGS3
PB.104981:ZNF618	ZNF618
PB.105000:AKNA	AKNA
PB.105001:WHRN	WHRN
PB.105004:ORM1	ORM1
PB.105006:ATP6V1G1	ATP6V1G1
PB.105013:TMEM268	TMEM268
PB.105038:TNFSF15	TNFSF15
PB.105053:TNFSF8	TNFSF8
PB.105076:DELEC1	DELEC1
PB.105123:PAPPA-AS1	PAPPA-AS1
PB.105181:ASTN2	ASTN2
PB.105185:TRIM32	TRIM32
PB.10519:DNM3	DNM3
PB.10519:DNM3-IT1	DNM3-IT1
PB.105215:TLR4	TLR4
PB.105215:ENSG00000285082	ENSG00000285082
PB.105215:ENSG00000284977	ENSG00000284977
PB.105215:ENSG00000284977+TLR4	ENSG00000284977+TLR4
PB.1053:TMCO4	TMCO4
PB.105330:CDK5RAP2	CDK5RAP2
PB.105344:CUTALP	CUTALP
PB.105344:B3GALT9	B3GALT9
PB.105346:FBXW2	FBXW2
PB.105346:PSMD5	PSMD5
PB.105346:MEGF9	MEGF9
PB.105346:ENSG00000270917	ENSG00000270917
PB.105346:ENSG00000270917+PSMD5	ENSG00000270917+PSMD5
PB.105346:PHF19	PHF19
PB.105346:PHF19+TRAF1	PHF19+TRAF1
PB.105346:TRAF1	TRAF1
PB.105346:FBXW2+PHF19	FBXW2+PHF19
PB.105378:C5	C5
PB.105378:RAB14	RAB14
PB.105386:CNTRL	CNTRL
PB.105386:GSN	GSN
PB.105386:RN7SL181P	RN7SL181P
PB.105388:GSN-AS1	GSN-AS1
PB.105392:GSN	GSN
PB.105398:STOM	STOM
PB.105412:ENSG00000227355	ENSG00000227355
PB.105424:RN7SL187P	RN7SL187P
PB.105426:GGTA1	GGTA1
PB.105526:TTLL11	TTLL11
PB.105532:NDUFA8	NDUFA8
PB.105540:RBM18	RBM18
PB.105561:MRRF	MRRF
PB.105568:PTGS1	PTGS1
PB.105568:ENSG00000269970	ENSG00000269970
PB.105613:ENSG00000234156	ENSG00000234156
PB.105613:OR1J2	OR1J2
PB.105620:OR1Q1	OR1Q1
PB.105657:SKA2P1	SKA2P1
PB.105660:OR1K1	OR1K1
PB.105666:PDCL	PDCL
PB.105666:OR1L8+PDCL	OR1L8+PDCL
PB.105666:OR1L8	OR1L8
PB.105674:RC3H2	RC3H2
PB.105674:ZBTB6	ZBTB6
PB.105674:ZBTB26+ZBTB6	ZBTB26+ZBTB6
PB.105674:ZBTB26	ZBTB26
PB.105674:ENSG00000286718	ENSG00000286718
PB.105674:ENSG00000213216	ENSG00000213216
PB.105677:ENSG00000261094	ENSG00000261094
PB.105677:RABGAP1	RABGAP1
PB.105679:MIR600HG	MIR600HG
PB.105682:STRBP	STRBP
PB.105707:PIGFP2	PIGFP2
PB.10571:DNM3	DNM3
PB.105711:LHX2	LHX2
PB.105712:DENND1A	DENND1A
PB.105725:NEK6	NEK6
PB.105726:PSMB7	PSMB7
PB.105737:MIR181A2HG	MIR181A2HG
PB.105750:NR6A1	NR6A1
PB.105756:ENSG00000289285	ENSG00000289285
PB.105760:ARPC5L	ARPC5L
PB.105767:GOLGA1	GOLGA1
PB.105767:SCAI	SCAI
PB.105767:PPP6C	PPP6C
PB.105767:HSPA5	HSPA5
PB.105767:ENSG00000214593	ENSG00000214593
PB.105767:FXNP2	FXNP2
PB.105767:PPP6C+SCAI	PPP6C+SCAI
PB.105769:ENSG00000227845	ENSG00000227845
PB.105774:GAPVD1	GAPVD1
PB.105774:RABEPK	RABEPK
PB.10580:PIGC	PIGC
PB.10581:C1orf105	C1orf105
PB.105815:MAPKAP1	MAPKAP1
PB.105815:RN7SL30P	RN7SL30P
PB.105860:PBX3	PBX3
PB.105860:HNRNPA1P15	HNRNPA1P15
PB.105874:MVB12B	MVB12B
PB.105876:ENSG00000279137	ENSG00000279137
PB.105877:ENSG00000279137	ENSG00000279137
PB.105897:ZBTB43	ZBTB43
PB.105897:ENSG00000288995	ENSG00000288995
PB.105957:ZBTB34	ZBTB34
PB.105957:RALGPS1	RALGPS1
PB.105978:GARNL3	GARNL3
PB.105978:ENSG00000271833	ENSG00000271833
PB.105980:SLC2A8	SLC2A8
PB.105994:ZNF79	ZNF79
PB.106001:LRSAM1	LRSAM1
PB.106016:NIBAN2	NIBAN2
PB.106025:STXBP1	STXBP1
PB.10603:SUCO	SUCO
PB.106054:STXBP1	STXBP1
PB.106060:PTRH1	PTRH1
PB.106060:ENSG00000279571+PTRH1	ENSG00000279571+PTRH1
PB.106060:ENSG00000279571	ENSG00000279571
PB.106063:TOR2A	TOR2A
PB.106064:TTC16	TTC16
PB.106065:SH2D3C	SH2D3C
PB.106065:ENG	ENG
PB.106067:ST6GALNAC6	ST6GALNAC6
PB.106067:ENSG00000257524	ENSG00000257524
PB.106067:AK1	AK1
PB.106067:AK1+ST6GALNAC6	AK1+ST6GALNAC6
PB.106067:ST6GALNAC4	ST6GALNAC4
PB.106067:PIP5KL1	PIP5KL1
PB.106067:DPM2+PIP5KL1	DPM2+PIP5KL1
PB.106067:DPM2	DPM2
PB.106067:FAM102A	FAM102A
PB.106067:NAIF1	NAIF1
PB.106067:ENSG00000230536	ENSG00000230536
PB.106070:PTGES2	PTGES2
PB.106070:SLC25A25-AS1	SLC25A25-AS1
PB.106070:PTGES2+SLC25A25-AS1	PTGES2+SLC25A25-AS1
PB.106070:CIZ1	CIZ1
PB.106070:GOLGA2	GOLGA2
PB.106072:TRUB2	TRUB2
PB.106075:BBLN	BBLN
PB.106075:CDK9	CDK9
PB.106075:DNM1	DNM1
PB.106075:SWI5	SWI5
PB.106075:ENSG00000272696+SWI5	ENSG00000272696+SWI5
PB.106075:ENSG00000272696	ENSG00000272696
PB.106075:COQ4	COQ4
PB.106075:FPGS	FPGS
PB.106075:ENSG00000225032+FPGS	ENSG00000225032+FPGS
PB.106075:ENSG00000225032	ENSG00000225032
PB.106075:SLC25A25	SLC25A25
PB.106075:PTGES2-AS1	PTGES2-AS1
PB.106075:LCN2	LCN2
PB.106085:ENSG00000228395	ENSG00000228395
PB.106085:DYNC2I2	DYNC2I2
PB.106085:HMGA1P4	HMGA1P4
PB.106085:ZDHHC12	ZDHHC12
PB.106085:ZER1	ZER1
PB.106085:Metazoa+SRP	Metazoa+SRP
PB.106086:SLC27A4	SLC27A4
PB.106086:URM1	URM1
PB.106086:SPTAN1	SPTAN1
PB.106086:ENSG00000280474	ENSG00000280474
PB.106086:SET	SET
PB.106086:PKN3	PKN3
PB.106086:ENSG00000223478	ENSG00000223478
PB.106086:TBC1D13	TBC1D13
PB.106086:ENDOG	ENDOG
PB.106086:LRRC8A	LRRC8A
PB.106086:PHYHD1	PHYHD1
PB.106086:CERCAM	CERCAM
PB.106086:ODF2	ODF2
PB.106086:TMSB4XP4	TMSB4XP4
PB.106086:GLE1	GLE1
PB.106087:NUP188	NUP188
PB.106087:ENSG00000251184	ENSG00000251184
PB.106088:SPOUT1	SPOUT1
PB.106088:KYAT1	KYAT1
PB.106088:DOLK	DOLK
PB.106088:SH3GLB2	SH3GLB2
PB.106088:ENSG00000267834	ENSG00000267834
